Address,City,State,Type,Status,Subtype,Market,Legal Entity,Floors,Units,Total Sq Ft,Reserve Requirement,Year Built,Last Renovated,Occupancy,property_id
180 Admiral Cochrane Drive,Annapolis,MD,Office,For Lease,Suburban Office,Mid-Atlantic,"GCP-180, LLC",4,20,125728,500000,1988,2018,1.0,274d6a082abc4de091a10bc562745591
25 S. Charles Street,Baltimore,MD,Office,For Lease,Downtown Office,Mid-Atlantic,"GCP-DTBAL, LLC",22,40,359000,1000000,1969,2017,0.6,a2285cbe4eb9443d8ff64c6927f2bff8
120 E. Baltimore Street,Baltimore,MD,Office,For Lease,Historic Building / CBD Office,Mid-Atlantic,"GCP-DTBAL, LLC",25,50,325340,1000000,1989,2021,1.0,ea2f0fc90e65423498b01b174798b47b
95 Heritage Drive,Quincy,MA,Office,For Lease,Business Park,Northeast,"GCP-95, LLC",3,12,50000,250000,1985,2015,1.0,eb4235c3a65c417d981ccea9ad76839b
300 Crown Colony Drive,Quincy,MA,Office,For Lease,Class A Office,Northeast,"GCP-300, LLC",5,20,117339,400000,1988,2013,0.9,589a3f06b32c446fa8c5b48791248c80
313 Washington Street,Newton,MA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-313, LLC",5,20,81058,300000,1980,2020,0.8,b17b65f2c5154ec2b379033c9180ba4b
7030 Dorsey Road,Hanover,MD,Retail,For Lease,Flex Space,Mid-Atlantic,"GCP-7030, LLC",3,12,63000,250000,1990,2016,1.0,a62adeef7b324fb09be6d6e5e6bb1ce0
"1302, 1304, 1306 Concourse Drive",Linthicum,MD,Office,For Lease,Office Park,Mid-Atlantic,"GCP-1302, LLC",2,6,50000,200000,1987,2012,1.0,ab97adf4517f4a39a1c91c19ab1367fe
70 Hastings Street,Wellesley,MA,Office,For Lease,Medical Office,Northeast,"GCP-70, LLC",3,10,48000,200000,1992,2017,0.8,3d679e29f4e24d7c87a1f5fe767b3354
21 Crossroads Drive,Owings Mills,MD,Office,For Lease,Small Professional Suites,Mid-Atlantic,"GCP-21, LLC",2,8,42000,150000,1985,2010,0.625,9a1c6750e43242e48993c7bed757ae85
10010 Junction Drive,Annapolis,MD,Office,For Lease,Suburban Office,Mid-Atlantic,"GCP-10010, LLC",3,12,50000,250000,1990,2015,0.9166666666666666,05bc072d112642fea142531f3732d557
700 Congress Street,Austin,TX,Office,For Lease,CBD Office,South,"GCP-TX, LLC",10,30,150000,600000,1982,2018,0.6,fcd7c1f4bc7a4989bcbf95f233d6372e
11100 Gilroy Road,Hunt Valley,MD,Industrial,For Lease,Warehouse/Distribution,Mid-Atlantic,"GCP-11100, LLC",1,6,80000,250000,1995,2010,0.8333333333333334,3ead7e7aea814dc3ad70aa712ca0982f
8215 Dorsey Run Road,Jessup,MD,Industrial,Sold,Light Industrial,Mid-Atlantic,"GCP-8215, LLC",1,8,60000,200000,1980,2010,1.0,e7660be5536c4e47a8a022f0bd2edb59
110 Shawmut Road,Canton,MA,Industrial,Sold,R&D/Flex Industrial,Northeast,"GCP-110, LLC",2,10,70000,250000,1985,2015,0.9,fdf47009b4714f9da762c21758271b2b
300 & 600 Federal Street,Andover,MA,Office,Sold,Urban Office,Northeast,"GCP-300, LLC",4,16,120000,400000,1990,2012,0.1875,6f86ccdb6587431eacce5e5ead5db795
"1512, 1514, 1516 Jabez Run",Millersville,MD,Industrial,Sold,Multi-Tenant Industrial,Mid-Atlantic,"GCP-1512, LLC",1,12,90000,300000,1987,2015,1.0,80a91db642c348cf8715bba4ae06654c
254 Second Avenue,Waltham,MA,Office,Sold,Government/Medical Office,Northeast,"GCP-254, LLC",3,15,60000,200000,1980,2010,0.6,815fcfdfd5ab4a9f9db1938c43fd9f3d
2300 Crown Colony Drive,Quincy,MA,Office,Sold,Corporate Office,Northeast,"GCP-2300, LLC",5,25,130000,500000,1989,2017,0.6,c07a607a5f0d4e34877c338e5c207a95
700 & 900 Technology Park Drive,Billerica,MA,Office,Sold,Tech Campus,Northeast,"GCP-700, LLC",3,18,95000,350000,1995,2014,1.0,c1ca754d15e2405c8b15f05797349756
8002 Discovery Drive,Columbia,MD,Office,Sold,Class B Office,Mid-Atlantic,"GCP-8002, LLC",3,10,45000,150000,1982,2012,1.0,3290f732de9d45b9a247babef046a02f
2810 North Parham Road,Richmond,VA,Office,Sold,Office Tower,Mid-Atlantic,"GCP-2810, LLC",7,28,140000,600000,1980,2010,0.7857142857142857,4048c193d3314cbb93aba057f43797fa
14900 Landmark Boulevard,Dallas,TX,Office,Sold,Suburban Office,South,"GCP-TX, LLC",6,24,110000,400000,1985,2010,0.20833333333333334,a97f0ac689624571bda25f67f1ba8129
"7200, 7202, 7204 Glen Forest Drive",Richmond,VA,Office,Sold,Office Campus,Mid-Atlantic,"GCP-7200, LLC",2,12,60000,200000,1987,2012,0.9166666666666666,f9a6e806e0e34f04889e8c74834e2ef2
8361 Town Center Court,Baltimore,MD,Office,Sold,Mixed-Use Office,Mid-Atlantic,"GCP-8361, LLC",3,15,70000,250000,1990,2015,1.0,b787cabc72cf4471ab5cf7e7d7220652
1305 Governor Court,Abingdon,MD,Industrial,Sold,Flex Industrial,Mid-Atlantic,"GCP-1305, LLC",1,8,50000,200000,1992,2012,0.875,d2487532722d440ca9398034ae92ec04
